UI Element,UI Type,Route/Path,Feature Name,User Story ID,Database Tables,data-testid,Vai trò,Status,Notes
=== AUTHENTICATION ===,,,,,,,,,
Login Page,Page,/login,Đăng nhập hệ thống,"EMP-00-01, MNG-00-01, CEO-00-01, SYS-00-01, ORG-00-01","users, sessions",login-page,PUBLIC,,"Input: email, password"
├─ Input Email,Input,/login,Nhập email đăng nhập,ALL,users,input-email,PUBLIC,,"type=""email"""
├─ Input Password,Input,/login,Nhập mật khẩu,ALL,users,input-password,PUBLIC,,"type=""password"""
├─ Button Submit,Button,/login,Nút đăng nhập,ALL,-,btn-login,PUBLIC,,
├─ Link Forgot Password,Link,/login,Liên kết quên mật khẩu,ALL,-,link-forgot-password,PUBLIC,,
Join Page,Page,/join,Đăng ký qua invite link,ORG-01-02,"org_invites, users",join-page,PUBLIC,,
├─ Input Invite Code,Input,/join,Nhập mã mời,ORG-01-02,org_invites,input-invite-code,PUBLIC,,
├─ Input Full Name,Input,/join,Nhập họ tên,ORG-01-02,users,input-full-name,PUBLIC,,
├─ Input Email,Input,/join,Nhập email,ORG-01-02,users,input-email,PUBLIC,,
├─ Input Password,Input,/join,Nhập mật khẩu,ORG-01-02,users,input-password,PUBLIC,,
├─ Button Submit,Button,/join,Nút đăng ký,ORG-01-02,-,btn-register,PUBLIC,,
Forgot Password Page,Page,/forgot-password,Quên mật khẩu,"EMP-00-03, MNG-00-03",users,forgot-password-page,PUBLIC,,
├─ Input Email,Input,/forgot-password,Nhập email để reset,EMP-00-03,users,input-email,PUBLIC,,
├─ Button Submit,Button,/forgot-password,Gửi yêu cầu reset,EMP-00-03,-,btn-submit,PUBLIC,,
Reset Password Page,Page,/reset-password,Đặt lại mật khẩu,EMP-00-03,"users, password_reset_tokens",reset-password-page,PUBLIC,,
├─ Input New Password,Input,/reset-password,Nhập mật khẩu mới,EMP-00-03,users,input-new-password,PUBLIC,,
├─ Input Confirm Password,Input,/reset-password,Xác nhận mật khẩu,EMP-00-03,users,input-confirm-password,PUBLIC,,
├─ Button Submit,Button,/reset-password,Đặt lại mật khẩu,EMP-00-03,-,btn-submit,PUBLIC,,
=== SIDEBAR NAVIGATION ===,,,,,,,,,
Dashboard,Sidebar Item,/dashboard,Trang chủ Dashboard,"EMP-02-01, MNG-02-01, CEO-01-01","projects, tasks, users",sidebar-dashboard,ALL,,"Stats cards, charts"
